COMID,order_,watershed,subbasin,region
9012364,1,south_america,geoglows,Amazon_River
9012365,2,south_america,geoglows,Amazon_River
9012366,1,south_america,geoglows,Guianas
9012372,3,south_america,geoglows,Orinoco_River
9012375,1,south_america,geoglows,Guianas
9012376,4,south_america,geoglows,Guianas
9012379,2,south_america,geoglows,Amazon_River
9012402,2,south_america,geoglows,Amazon_River
9012405,1,south_america,geoglows,Amazon_River
9012416,2,south_america,geoglows,Amazon_River
9012417,1,south_america,geoglows,Amazon_River
9012418,1,south_america,geoglows,Amazon_River
9012420,1,south_america,geoglows,Amazon_River
9012432,2,south_america,geoglows,Amazon_River
9012465,1,south_america,geoglows,Amazon_River
9012466,1,south_america,geoglows,Amazon_River
9012467,1,south_america,geoglows,Amazon_River
9012479,1,south_america,geoglows,Guianas
9012483,2,south_america,geoglows,Amazon_River
9012492,1,south_america,geoglows,Amazon_River
9012498,2,south_america,geoglows,Amazon_River
9012499,1,south_america,geoglows,Guianas
9012501,1,south_america,geoglows,Orinoco_River
9012504,2,south_america,geoglows,Amazon_River
9012505,1,south_america,geoglows,Guianas
9012508,3,south_america,geoglows,Amazon_River
9012524,2,south_america,geoglows,Amazon_River
9012525,2,south_america,geoglows,Amazon_River
9012532,1,south_america,geoglows,Orinoco_River
9012546,4,south_america,geoglows,Guianas
9012547,1,south_america,geoglows,Amazon_River
9012553,1,south_america,geoglows,Amazon_River
9012578,1,south_america,geoglows,Amazon_River
9012579,2,south_america,geoglows,Amazon_River
9012580,2,south_america,geoglows,Amazon_River
9012587,2,south_america,geoglows,Amazon_River
9012588,1,south_america,geoglows,Amazon_River
9012602,1,south_america,geoglows,Amazon_River
9012603,1,south_america,geoglows,Amazon_River
9012609,1,south_america,geoglows,Amazon_River
9012612,1,south_america,geoglows,Amazon_River
9012619,1,south_america,geoglows,Amazon_River
9012629,2,south_america,geoglows,Amazon_River
9012634,3,south_america,geoglows,Amazon_River
9012635,4,south_america,geoglows,Amazon_River
9012638,2,south_america,geoglows,Amazon_River
9012647,1,south_america,geoglows,Orinoco_River
9012648,1,south_america,geoglows,Amazon_River
9012655,1,south_america,geoglows,Amazon_River
9012657,3,south_america,geoglows,Amazon_River
9012677,1,south_america,geoglows,Amazon_River
9012680,4,south_america,geoglows,Guianas
9012684,1,south_america,geoglows,Amazon_River
9012685,3,south_america,geoglows,Amazon_River
9012686,1,south_america,geoglows,Amazon_River
9012689,1,south_america,geoglows,Amazon_River
9012690,1,south_america,geoglows,Amazon_River
9012691,2,south_america,geoglows,Amazon_River
9012694,2,south_america,geoglows,Amazon_River
9012695,1,south_america,geoglows,Amazon_River
9012696,2,south_america,geoglows,Amazon_River
9012697,3,south_america,geoglows,Amazon_River
9012701,1,south_america,geoglows,Amazon_River
9012713,1,south_america,geoglows,Guianas
9012714,3,south_america,geoglows,Guianas
9012720,1,south_america,geoglows,Orinoco_River
9012725,1,south_america,geoglows,Amazon_River
9012726,2,south_america,geoglows,Amazon_River
9012733,2,south_america,geoglows,Guianas
9012734,1,south_america,geoglows,Guianas
9012738,2,south_america,geoglows,Amazon_River
9012740,2,south_america,geoglows,Amazon_River
9012741,1,south_america,geoglows,Amazon_River
9012748,2,south_america,geoglows,Amazon_River
9012753,1,south_america,geoglows,Orinoco_River
9012754,1,south_america,geoglows,Orinoco_River
9012762,1,south_america,geoglows,Amazon_River
9012764,1,south_america,geoglows,Orinoco_River
9012767,2,south_america,geoglows,Amazon_River
9012768,3,south_america,geoglows,Amazon_River
9012769,1,south_america,geoglows,Amazon_River
9012770,1,south_america,geoglows,Amazon_River
9012771,3,south_america,geoglows,Amazon_River
9012775,1,south_america,geoglows,Amazon_River
9012783,3,south_america,geoglows,Amazon_River
9012786,4,south_america,geoglows,Guianas
9012788,2,south_america,geoglows,Amazon_River
9012789,1,south_america,geoglows,Amazon_River
9012795,1,south_america,geoglows,Amazon_River
9012800,1,south_america,geoglows,Guianas
9012804,2,south_america,geoglows,Amazon_River
9012805,1,south_america,geoglows,Amazon_River
9012813,1,south_america,geoglows,Amazon_River
9012828,1,south_america,geoglows,Amazon_River
9012831,1,south_america,geoglows,Amazon_River
9012835,1,south_america,geoglows,Amazon_River
9012851,3,south_america,geoglows,Amazon_River
9012852,1,south_america,geoglows,Amazon_River
9012854,1,south_america,geoglows,Amazon_River
9012868,3,south_america,geoglows,Amazon_River
9012873,3,south_america,geoglows,Amazon_River
9012878,1,south_america,geoglows,Amazon_River
9012880,4,south_america,geoglows,Amazon_River
9012881,2,south_america,geoglows,Amazon_River
9012885,1,south_america,geoglows,Amazon_River
9012887,3,south_america,geoglows,Amazon_River
9012889,1,south_america,geoglows,Amazon_River
9012892,1,south_america,geoglows,Amazon_River
9012893,2,south_america,geoglows,Amazon_River
9012895,2,south_america,geoglows,Amazon_River
9012896,1,south_america,geoglows,Amazon_River
9012898,2,south_america,geoglows,Amazon_River
9012907,1,south_america,geoglows,Amazon_River
9012914,2,south_america,geoglows,Orinoco_River
9012920,1,south_america,geoglows,Amazon_River
9012931,2,south_america,geoglows,Amazon_River
9012934,4,south_america,geoglows,Guianas
9012935,2,south_america,geoglows,Amazon_River
9012936,1,south_america,geoglows,Amazon_River
9012937,3,south_america,geoglows,Amazon_River
9012942,3,south_america,geoglows,Amazon_River
9012943,1,south_america,geoglows,Amazon_River
9012954,1,south_america,geoglows,Orinoco_River
9012957,3,south_america,geoglows,Guianas
9012963,1,south_america,geoglows,Amazon_River
9012964,1,south_america,geoglows,Amazon_River
9012968,3,south_america,geoglows,Guianas
9012969,1,south_america,geoglows,Guianas
9012970,2,south_america,geoglows,Amazon_River
9012974,1,south_america,geoglows,Guianas
9012990,1,south_america,geoglows,Amazon_River
9012992,1,south_america,geoglows,Orinoco_River
9012994,3,south_america,geoglows,Guianas
9013004,1,south_america,geoglows,Amazon_River
9013010,1,south_america,geoglows,Amazon_River
9013020,1,south_america,geoglows,Amazon_River
9013021,3,south_america,geoglows,Amazon_River
9013024,1,south_america,geoglows,Amazon_River
9013036,1,south_america,geoglows,Amazon_River
9013037,1,south_america,geoglows,Amazon_River
9013044,1,south_america,geoglows,Amazon_River
9013045,1,south_america,geoglows,Amazon_River
9013054,1,south_america,geoglows,Amazon_River
9013057,2,south_america,geoglows,Amazon_River
9013058,4,south_america,geoglows,Amazon_River
9013065,2,south_america,geoglows,Amazon_River
9013066,1,south_america,geoglows,Amazon_River
9013069,2,south_america,geoglows,Guianas
9013070,1,south_america,geoglows,Guianas
9013071,2,south_america,geoglows,Amazon_River
9013072,2,south_america,geoglows,Amazon_River
9013082,2,south_america,geoglows,Amazon_River
9013088,1,south_america,geoglows,Amazon_River
9013095,3,south_america,geoglows,Guianas
9013100,4,south_america,geoglows,Amazon_River
9013106,2,south_america,geoglows,Amazon_River
9013107,1,south_america,geoglows,Amazon_River
9013110,4,south_america,geoglows,Amazon_River
9013112,2,south_america,geoglows,Amazon_River
9013114,1,south_america,geoglows,Amazon_River
9013115,2,south_america,geoglows,Guianas
9013121,4,south_america,geoglows,Guianas
9013130,3,south_america,geoglows,Amazon_River
9013133,1,south_america,geoglows,Guianas
9013134,1,south_america,geoglows,Guianas
9013138,2,south_america,geoglows,Amazon_River
9013152,2,south_america,geoglows,Guianas
9013161,3,south_america,geoglows,Guianas
9013165,1,south_america,geoglows,Amazon_River
9013167,4,south_america,geoglows,Guianas
9013173,1,south_america,geoglows,Amazon_River
9013174,3,south_america,geoglows,Amazon_River
9013189,2,south_america,geoglows,Guianas
9013192,1,south_america,geoglows,Amazon_River
9013194,1,south_america,geoglows,Guianas
9013202,2,south_america,geoglows,Amazon_River
9013203,1,south_america,geoglows,Amazon_River
9013205,1,south_america,geoglows,Amazon_River
9013206,1,south_america,geoglows,Amazon_River
9013208,3,south_america,geoglows,Guianas
9013215,1,south_america,geoglows,Amazon_River
9013216,2,south_america,geoglows,Amazon_River
9013218,1,south_america,geoglows,Amazon_River
9013221,4,south_america,geoglows,Amazon_River
9013224,4,south_america,geoglows,Amazon_River
9013225,1,south_america,geoglows,Amazon_River
9013226,1,south_america,geoglows,Amazon_River
9013230,2,south_america,geoglows,Amazon_River
9013232,2,south_america,geoglows,Amazon_River
9013233,2,south_america,geoglows,Amazon_River
9013234,1,south_america,geoglows,Amazon_River
9013235,2,south_america,geoglows,Amazon_River
9013236,1,south_america,geoglows,Amazon_River
9013237,3,south_america,geoglows,Amazon_River
9013238,1,south_america,geoglows,Guianas
9013240,4,south_america,geoglows,Amazon_River
9013241,1,south_america,geoglows,Amazon_River
9013242,2,south_america,geoglows,Amazon_River
9013245,4,south_america,geoglows,Amazon_River
9013246,1,south_america,geoglows,Amazon_River
9013247,2,south_america,geoglows,Amazon_River
9013248,3,south_america,geoglows,Amazon_River
9013269,1,south_america,geoglows,Guianas
9013270,1,south_america,geoglows,Amazon_River
9013273,1,south_america,geoglows,Amazon_River
9013275,1,south_america,geoglows,Guianas
9013278,1,south_america,geoglows,Amazon_River
9013279,1,south_america,geoglows,Amazon_River
9013280,1,south_america,geoglows,Amazon_River
9013281,3,south_america,geoglows,Amazon_River
9013282,4,south_america,geoglows,Amazon_River
9013291,2,south_america,geoglows,Amazon_River
9013293,1,south_america,geoglows,Amazon_River
9013294,3,south_america,geoglows,Amazon_River
9013295,3,south_america,geoglows,Amazon_River
9013299,2,south_america,geoglows,Guianas
9013303,2,south_america,geoglows,Amazon_River
9013305,2,south_america,geoglows,Amazon_River
9013317,1,south_america,geoglows,Amazon_River
9013321,3,south_america,geoglows,Amazon_River
9013323,3,south_america,geoglows,Amazon_River
9013324,3,south_america,geoglows,Amazon_River
9013359,3,south_america,geoglows,Amazon_River
9013361,4,south_america,geoglows,Amazon_River
9013362,4,south_america,geoglows,Amazon_River
9013363,1,south_america,geoglows,Amazon_River
9013369,1,south_america,geoglows,Amazon_River
9013370,2,south_america,geoglows,Amazon_River
9013371,3,south_america,geoglows,Amazon_River
9013377,2,south_america,geoglows,Amazon_River
9013382,3,south_america,geoglows,Guianas
9013396,3,south_america,geoglows,Amazon_River
9013409,1,south_america,geoglows,Amazon_River
9013411,4,south_america,geoglows,Amazon_River
9013422,4,south_america,geoglows,Amazon_River
9013423,1,south_america,geoglows,Amazon_River
9013432,1,south_america,geoglows,Amazon_River
9013434,1,south_america,geoglows,Amazon_River
9013435,2,south_america,geoglows,Amazon_River
9013436,2,south_america,geoglows,Guianas
9013439,4,south_america,geoglows,Amazon_River
9013449,1,south_america,geoglows,Amazon_River
9013451,2,south_america,geoglows,Amazon_River
9013452,2,south_america,geoglows,Guianas
9013456,4,south_america,geoglows,Amazon_River
9013457,1,south_america,geoglows,Guianas
9013459,4,south_america,geoglows,Amazon_River
9013463,1,south_america,geoglows,Amazon_River
9013465,4,south_america,geoglows,Guianas
9013473,1,south_america,geoglows,Amazon_River
9013474,2,south_america,geoglows,Amazon_River
9013476,2,south_america,geoglows,Amazon_River
9013479,3,south_america,geoglows,Amazon_River
9013480,3,south_america,geoglows,Amazon_River
9013502,1,south_america,geoglows,Orinoco_River
9013503,4,south_america,geoglows,Amazon_River
9013504,1,south_america,geoglows,Amazon_River
9013505,4,south_america,geoglows,Amazon_River
9013506,2,south_america,geoglows,Amazon_River
9013508,4,south_america,geoglows,Amazon_River
9013509,1,south_america,geoglows,Amazon_River
9013511,4,south_america,geoglows,Amazon_River
9013512,1,south_america,geoglows,Amazon_River
9013521,1,south_america,geoglows,Amazon_River
9013522,2,south_america,geoglows,Amazon_River
9013523,1,south_america,geoglows,Amazon_River
9013526,1,south_america,geoglows,Amazon_River
9013527,1,south_america,geoglows,Amazon_River
9013531,1,south_america,geoglows,Amazon_River
9013532,2,south_america,geoglows,Guianas
9013543,1,south_america,geoglows,Amazon_River
9013544,2,south_america,geoglows,Amazon_River
9013546,1,south_america,geoglows,Guianas
9013550,2,south_america,geoglows,Amazon_River
9013554,5,south_america,geoglows,Amazon_River
9013558,5,south_america,geoglows,Amazon_River
9013559,4,south_america,geoglows,Amazon_River
9013571,1,south_america,geoglows,Amazon_River
9013572,5,south_america,geoglows,Amazon_River
9013578,2,south_america,geoglows,Amazon_River
9013582,1,south_america,geoglows,Guianas
9013583,1,south_america,geoglows,Amazon_River
9013584,1,south_america,geoglows,Amazon_River
9013589,4,south_america,geoglows,Amazon_River
9013592,4,south_america,geoglows,Amazon_River
9013593,2,south_america,geoglows,Amazon_River
9013596,3,south_america,geoglows,Amazon_River
9013597,1,south_america,geoglows,Amazon_River
9013603,1,south_america,geoglows,Amazon_River
9013615,1,south_america,geoglows,Guianas
9013620,4,south_america,geoglows,Amazon_River
9013626,5,south_america,geoglows,Amazon_River
9013630,2,south_america,geoglows,Amazon_River
9013632,2,south_america,geoglows,Guianas
9013633,1,south_america,geoglows,Amazon_River
9013638,2,south_america,geoglows,Amazon_River
9013639,5,south_america,geoglows,Amazon_River
9013643,2,south_america,geoglows,Amazon_River
9013644,4,south_america,geoglows,Amazon_River
9013645,1,south_america,geoglows,Amazon_River
9013649,4,south_america,geoglows,Amazon_River
9013662,1,south_america,geoglows,Amazon_River
